pair,role,topic,domain,id,year,title,n_refs,n_authors,n_institutions,pct,cited_by_count,fwci,ref_age_median,ref_age_mean,ref_share_le3,ref_cross_topic,ref_cross_subfield,ref_cross_field,ref_cross_domain,ref_n_fields,ref_hot_median,ref_fwci_median,n_citers,citers_capped,cd_nok,cd5_nok,s2_influential,s2_method_cites,s2_ref_method_share,has_text,text_chars,pool_ref_age_median,pool_ref_share_le3,pool_ref_hot_median,ref_age_vs_pool,ref_share_le3_vs_pool,ref_hot_vs_pool,atyp_n_pairs,atyp_unscorable,atyp_median_z,atyp_p10_z,atyp_share_novel
11,twin,"Rings, Modules, and Algebras",Physical Sciences,W2072407405,2015,On Reduced Zero-Divisor Graphs of Posets,13,2,1,0.10954677,2,0.0,6,10.77,0.077,0.154,0.154,0.154,0.077,3,80,3.1,,False,,,0,0,0.125,False,,,,,,,,,,,,
12,case,Fermentation and Sensory Analysis,Life Sciences,W1774024296,2015,Microbial terroir and food innovation: The case of yeast biodiversity in wine,160,5,2,0.99624762,228,21.6604,8.0,8.92,0.26,0.144,0.137,0.123,0.034,5,122.0,6.15,,False,,,7,0,,False,,,,,,,,,,,,
12,twin,Fermentation and Sensory Analysis,Life Sciences,W1190150953,2015,Physico-chemical properties of botrytised Chenin blanc grapes to assess the extent of noble rot,20,5,2,0.84478611,19,1.6989,8.0,8.9,0.25,0.6,0.6,0.25,0.25,4,83.5,6.84,,False,,,0,0,,False,,,,,,,,,,,,
13,case,Electric Power System Optimization,Physical Sciences,W2010892660,2011,The impact of wind generation on the electricity spot-market price level and variance: The Texas experience,30,4,3,0.99057421,400,13.7517,4,11.31,0.483,0.517,0.483,0.379,0.207,5,107,5.93,,False,,,26,24,,False,,,,,,,,,,,,
13,twin,Electric Power System Optimization,Physical Sciences,W2066936468,2011,A Novel Improved Particle Swarm Optimization Approach for Dynamic Economic Dispatch Incorporating Wind Power,31,3,1,0.83105849,18,1.3946,4.0,4.73,0.4,0.3,0.267,0.167,0.0,3,143.0,6.02,,False,,,1,3,,False,,,,,,,,,,,,
14,case,Catalytic Cross-Coupling Reactions,Physical Sciences,W2890676278,2018,Well-Defined Palladium(II)–NHC Precatalysts for Cross-Coupling Reactions of Amides and Esters by Selective N–C/O–C Cleavage,73,3,3,0.99884459,394,23.4358,3,6.07,0.562,0.507,0.26,0.151,0.11,5,217,10.95,,False,,,1,0,,False,,,,,,,,,,,,
14,twin,Catalytic Cross-Coupling Reactions,Physical Sciences,W2884792634,2018,Palladium‐Catalyzed Domino Heck/Silylation Reaction for the Synthesis of (2‐Oxoindolin‐3‐yl)methylsilanes via Trapping of the σ‐Alkylpalladium Intermediates with Disilanes,54,6,2,0.81315911,19,1.5764,7.0,8.57,0.389,0.722,0.185,0.185,0.056,7,92.5,4.71,,False,,,0,0,,False,,,,,,,,,,,,
15,case,Pneumonia and Respiratory Infections,Health Sciences,W2002459863,2010,Structure and dynamics of the pan-genome of Streptococcus pneumoniae and closely related species,71,18,12,0.99457375,413,15.6025,5,6.63,0.366,0.493,0.493,0.465,0.451,7,272,10.98,,False,,,23,23,0.171,False,,,,,,,,,,,,
15,twin,Pneumonia and Respiratory Infections,Health Sciences,W2041131478,2010,Prevalence of undiagnosed hypoxemia in adults and children in an under-resourced district hospital in Zambia,23,7,5,0.5882221,23,0.1814,4,5.65,0.391,0.773,0.682,0.227,0.227,2,84,2.62,,False,,,1,1,0.0,False,,,,,,,,,,,,
16,case,Fluid Dynamics and Heat Transfer,Physical Sciences,W1989920209,2014,Universality of Tip Singularity Formation in Freezing Water Drops,15,5,6,0.98616803,291,9.1182,7,10.33,0.4,0.8,0.8,0.467,0.0,3,121,1.33,,False,,,11,9,0.067,True,21585,,,,,,,,,,,
16,twin,Fluid Dynamics and Heat Transfer,Physical Sciences,W2020416394,2014,Production of a high-velocity water slug using an impacting technique,13,2,4,0.71992527,18,0.8548,21,24.31,0.077,0.846,0.769,0.462,0.0,4,32,0.97,,False,,,0,0,,False,,,,,,,,,,,,
17,case,Cleft Lip and Palate Research,Life Sciences,W2128144746,2014,The Americleft Speech Project: A Training and Reliability Study,101,12,16,0.93793125,189,3.8562,12,16.46,0.113,0.567,0.567,0.567,0.546,10,95,2.0,,False,,,18,21,0.158,False,,,,,,,,,,,,
17,twin,Cleft Lip and Palate Research,Life Sciences,W2408915156,2014,[Influential factors affecting the postoperative velopharyngeal function among aged cleft palate patients].,11,6,0,0.65537574,7,0.2142,9,15.64,0.0,0.0,0.0,0.0,0.0,1,58,1.11,,False,,,,,,False,,,,,,,,,,,,
18,case,Pickering emulsions and particle stabilization,Physical Sciences,W2739511401,2017,Characterization of Pickering emulsion gels stabilized by zein/gum arabic complex colloidal nanoparticles,37,5,1,0.99284214,474,11.3553,2,3.43,0.676,0.405,0.405,0.378,0.378,4,247,8.1,,False,,,2,5,,False,,,,,,,,,,,,
18,twin,Pickering emulsions and particle stabilization,Physical Sciences,W2729223875,2017,Microfluidic fabrication of photonic encoding magnetized silica microspheres for aptamer-based enrichment of Ochratoxin A,35,11,3,0.77364419,21,1.2501,4,5.89,0.429,0.829,0.8,0.771,0.571,6,105,6.43,,False,,,1,1,,False,,,,,,,,,,,,
19,case,Galectins and Cancer Biology,Life Sciences,W2789752648,2018,"Galectin-3: One Molecule for an Alphabet of Diseases, from A to Z",489,9,5,0.99183787,378,11.3453,10.0,12.44,0.118,0.371,0.337,0.328,0.232,5,119.5,2.77,,False,,,14,1,0.038,False,,,,,,,,,,,,
19,twin,Galectins and Cancer Biology,Life Sciences,W2893916093,2018,The Predictive Value of Plasma Brain Natriuretic Peptide and Galectin-3 in Elderly Patients Admitted for Heart Failure,37,4,2,0.63581483,27,0.5927,8,14.34,0.2,0.771,0.771,0.771,0.771,3,273,7.84,,False,,,0,0,0.086,False,,,,,,,,,,,,
20,case,Advanced Fiber Laser Technologies,Physical Sciences,W2040371569,2012,Demonstration of a stable ultrafast laser based on a nonlinear microcavity,36,7,6,0.99499472,450,15.9673,5,8.63,0.371,0.4,0.371,0.371,0.029,4,249,5.67,,False,,,0,3,0.312,False,,,,,,,,,,,,
20,twin,Advanced Fiber Laser Technologies,Physical Sciences,W2061124791,2012,Spectral phase shift and residual angular dispersion of an acousto-optic programmable dispersive filter,28,5,2,0.69104133,11,0.7176,8,10.33,0.222,0.852,0.185,0.148,0.037,3,62,3.52,,False,,,0,0,,False,,,,,,,,,,,,
21,case,Mycobacterium research and diagnosis,Health Sciences,W2791765621,2018,Phylogenomics and Comparative Genomic Studies Robustly Support Division of the Genus Mycobacterium into an Emended Genus Mycobacterium and Four Novel Genera,207,3,1,0.99970788,538,75.2993,10.0,16.38,0.149,0.411,0.406,0.371,0.371,6,70.0,3.28,,False,,,36,23,0.284,False,,,,,,,,,,,,
21,twin,Mycobacterium research and diagnosis,Health Sciences,W2795063159,2018,Human IL12RB1 expression is allele-biased and produces a novel IL12 response regulator,84,7,2,0.70599405,9,0.753,10.0,10.54,0.131,0.988,0.976,0.798,0.798,4,89.5,2.84,,False,,,0,0,0.0,False,,,,,,,,,,,,
22,case,Skin and Cellular Biology Research,Life Sciences,W2147209470,2014,Mechanotransduction and fibrosis,169,11,3,0.97984645,203,6.8921,5.0,8.65,0.407,0.981,0.646,0.516,0.509,6,194.5,6.71,,False,,,3,2,0.042,False,,,,,,,,,,,,
22,twin,Skin and Cellular Biology Research,Life Sciences,W2018608811,2014,Two novel mutations in the LOR gene in three families with loricrin keratoderma,12,6,7,0.58678366,12,0.422,12.5,11.08,0.167,0.083,0.083,0.0,0.0,1,44.5,0.84,,False,,,0,0,,False,,,,,,,,,,,,
23,case,Foot and Ankle Surgery,Health Sciences,W2193011214,2013,Selection criteria for patients with chronic ankle instability in controlled research: a position statement of the International Ankle Consortium,53,15,14,0.99913812,788,27.4712,5,6.55,0.327,0.245,0.184,0.041,0.02,3,218,4.1,,False,,,86,64,,False,,,,,,,,,,,,
23,twin,Foot and Ankle Surgery,Health Sciences,W2127508065,2013,Prevalence of Accessory Ossicles and Sesamoid Bones in Hallux Valgus,29,6,3,0.59096459,16,0.2431,17.5,22.11,0.036,0.821,0.786,0.179,0.179,3,56.5,0.61,,False,,,3,0,,False,,,,,,,,,,,,
24,case,Memory Processes and Influences,Life Sciences,W2519712219,2016,Youthful Brains in Older Adults: Preserved Neuroanatomy in the Default Mode and Salience Networks Contributes to Youthful Memory in Superaging,60,6,4,0.98687486,200,9.3786,9,10.46,0.237,0.932,0.407,0.407,0.407,8,450,8.54,,False,,,16,10,0.14,False,,,,,,,,,,,,
24,twin,Memory Processes and Influences,Life Sciences,W2552051208,2016,"Sex, age, and sex hormones affect recall of words in a directed forgetting paradigm",57,6,2,0.71556913,14,0.7563,8,10.21,0.246,0.825,0.702,0.596,0.509,6,161,4.46,,False,,,0,1,,False,,,,,,,,,,,,
25,case,Microbial Metabolites in Food Biotechnology,Health Sciences,W2194583909,2015,"Production, properties, and industrial food application of lactic acid bacteria-derived exopolysaccharides",170,4,2,0.99393684,361,13.3,12.0,16.15,0.108,0.62,0.601,0.601,0.57,7,127.0,4.12,,False,,,0,0,,False,,,,,,,,,,,,
25,twin,Microbial Metabolites in Food Biotechnology,Health Sciences,W2256802547,2015,"Antioxidant, Anti-inflammatory and Cytotoxicity on Human Lung Epithelial A549 Cells of Jerusalem artichoke (Helianthus tuberosus L.) Tuber",27,2,1,0.66625734,11,0.4667,8.0,9.92,0.269,0.962,0.962,0.962,0.538,6,182.0,3.97,,False,,,2,0,,False,,,,,,,,,,,,
26,case,Aquaculture disease management and microbiota,Life Sciences,W1993065952,2010,Teleost intestinal immunology,211,5,3,0.97550204,608,6.5936,6,10.18,0.292,0.488,0.292,0.282,0.077,8,98,1.84,,False,,,28,3,,False,,,,,,,,,,,,
26,twin,Aquaculture disease management and microbiota,Life Sciences,W1990273311,2010,Lymphocytes with T-cell-like properties express the Fas ligand in the Japanese flounder Paralichthys olivaceus,37,6,2,0.66606859,18,0.6486,11.0,10.06,0.167,0.806,0.667,0.667,0.028,3,113.5,3.02,,False,,,2,1,,False,,,,,,,,,,,,
27,case,Facial Rejuvenation and Surgery Techniques,Health Sciences,W2914434557,2019,Anatomy of the Facial Fat Compartments and their Relevance in Aesthetic Surgery,68,2,3,0.99221744,131,13.3652,6.5,11.24,0.212,0.364,0.303,0.091,0.045,4,91.5,4.14,,False,,,6,0,,False,,,,,,,,,,,,
27,twin,Facial Rejuvenation and Surgery Techniques,Health Sciences,W2994312635,2019,Predictability of the Phenylephrine Test With Regard to Eyelid Skin Appearance in Patients Who Undergo Müller Muscle–Conjunctival Resection Without Blepharoplasty,23,3,3,0.66994871,11,0.405,12.0,14.5,0.056,0.111,0.111,0.0,0.0,1,48.5,1.87,,False,,,1,0,,False,,,,,,,,,,,,
28,case,Culinary Culture and Tourism,Life Sciences,W2223380856,2016,Memorable Tourist Experiences and Place Attachment When Consuming Local Food,102,1,1,0.99796102,515,24.7096,15.0,17.18,0.031,0.906,0.906,0.885,0.812,8,506.5,12.7,,False,,,40,6,,False,,,,,,,,,,,,
28,twin,Culinary Culture and Tourism,Life Sciences,W2524393622,2016,On Imitating the Regimen of Immortality or Facing the Diet of Mortal Reality: A Brief History of Abstinence from Flesh-Eating in Christianity,23,1,1,0.11100149,4,0.0,17.0,31.82,0.182,1.0,1.0,1.0,0.955,4,19.5,0.0,,False,,,0,0,,False,,,,,,,,,,,,
29,case,Heavy metals in environment,Physical Sciences,W1999185871,2013,Remediation of heavy metal(loid)s contaminated soils – To mobilize or to immobilize?,401,8,8,0.9994648,2018,39.4661,8,9.24,0.256,0.538,0.528,0.227,0.113,12,127,3.79,,False,,,51,1,,False,,9,0.183,113.0,-1,0.073,1.124,406,0,0.406,-0.916,0.33
29,twin,Heavy metals in environment,Physical Sciences,W2130334366,2013,Effect of sewage sludge on metal content of grassland soil and herbage in semiarid lands,22,3,2,0.76529747,12,1.1343,8.0,11.95,0.227,0.455,0.318,0.136,0.091,3,107.5,3.14,,False,,,2,1,,False,,9,0.183,113.0,-1.0,0.044,0.951,10,0,0.326,-0.381,0.1
30,case,Immunodeficiency and Autoimmune Disorders,Life Sciences,W2487528628,2016,Trisomy 21 consistently activates the interferon response,89,12,3,0.98256782,390,8.2013,4,7.57,0.471,1.0,0.931,0.92,0.586,5,143,7.75,,False,,,18,7,0.128,False,,,,,,,,,,,,
30,twin,Immunodeficiency and Autoimmune Disorders,Life Sciences,W2473872168,2016,Recurrent Cellulitis Caused by Helicobacter cinaedi in a Patient with X-linked Agammaglobulinaemia,15,8,1,0.72228479,13,0.8484,8.5,10.36,0.286,0.5,0.5,0.5,0.429,3,37.5,1.51,,False,,,0,0,,False,,,,,,,,,,,,
31,case,Advanced Antenna and Metasurface Technologies,Physical Sciences,W2027918153,2014,Reconfigurable Folded Reflectarray Antenna Based Upon Liquid Crystal Technology,48,5,2,0.99955276,253,243.1472,5,6.63,0.22,0.171,0.073,0.049,0.0,2,38,12.93,,False,,,6,29,,False,,,,,,,,,,,,
31,twin,Advanced Antenna and Metasurface Technologies,Physical Sciences,W2010048157,2014,Broadening bandwidth of the composite radar absorption material involving a frequency selective surface,13,6,0,0.98616675,8,15.8031,7,8.54,0.231,0.154,0.154,0.154,0.0,3,164,171.01,,False,,,1,1,,False,,,,,,,,,,,,
32,case,Turtle Biology and Conservation,Physical Sciences,W2005712468,2012,To Eat or Not to Eat? Debris Selectivity by Marine Turtles,56,4,4,0.98856903,173,10.9867,10,11.71,0.275,0.471,0.471,0.176,0.059,6,217,3.58,,False,,,8,3,0.0,False,,,,,,,,,,,,
32,twin,Turtle Biology and Conservation,Physical Sciences,W1980373626,2012,Effects of road proximity on genetic diversity and reproductive success of the painted turtle (Chrysemys picta),51,3,6,0.82839546,19,1.7167,13.0,16.2,0.08,0.56,0.56,0.4,0.38,6,225.0,5.86,,False,,,0,0,,False,,,,,,,,,,,,
33,case,Melanoma and MAPK Pathways,Life Sciences,W2033708806,2013,Oncogenic BRAF Regulates Oxidative Metabolism via PGC1α and MITF,79,15,6,0.99797665,823,25.7009,5.0,8.08,0.346,0.692,0.551,0.256,0.244,3,619.5,15.95,,False,,,65,7,0.0,False,,,,,,,,,,,,
33,twin,Melanoma and MAPK Pathways,Life Sciences,W1991144222,2013,Low BRAF and NRAS expression levels are associated with clinical benefit from DTIC therapy and prognosis in metastatic melanoma,46,8,4,0.75806906,20,1.0995,5,5.69,0.4,0.444,0.4,0.289,0.267,4,253,9.15,,False,,,1,1,0.0,False,,,,,,,,,,,,
34,case,Asymmetric Hydrogenation and Catalysis,Physical Sciences,W2034935579,2011,The Growing Impact of Catalysis in the Pharmaceutical Industry,294,4,1,0.99586344,514,17.7897,8.0,9.49,0.308,0.759,0.752,0.248,0.157,8,150.5,6.6,,False,,,1,1,,False,,,,,,,,,,,,
34,twin,Asymmetric Hydrogenation and Catalysis,Physical Sciences,W4242228693,2011,Divergent Regioselectivity in the Synthesis of Trisubstituted Allylic Alcohols by Nickel‐ and Ruthenium‐Catalyzed Alkyne Hydrohydroxymethylation with Formaldehyde,92,4,2,0.86415531,30,1.8501,14.0,16.58,0.163,0.728,0.707,0.098,0.043,6,82.5,4.43,,False,,,,,,False,,,,,,,,,,,,
35,case,Endometrial and Cervical Cancer Treatments,Health Sciences,W2154516141,2011,Phase II Trial of Bevacizumab in Recurrent or Persistent Endometrial Cancer: A Gynecologic Oncology Group Study,38,10,1,0.99825361,324,23.2206,5.5,5.66,0.316,0.5,0.5,0.237,0.237,3,182.5,7.38,,False,,,12,11,,False,,,,,,,,,,,,
35,twin,Endometrial and Cervical Cancer Treatments,Health Sciences,W2130810987,2011,Genomic instability influences the transcriptome and proteome in endometrial cancer subtypes,49,13,5,0.85808656,23,2.0318,10.0,10.94,0.104,0.896,0.896,0.583,0.562,6,140.5,3.13,,False,,,0,0,0.119,False,,,,,,,,,,,,
36,case,Plant Gene Expression Analysis,Life Sciences,W2096172188,2014,A Conserved Network of Transcriptional Activators and Repressors Regulates Anthocyanin Pigmentation in Eudicots,101,10,4,0.99291615,861,12.9851,7,9.73,0.238,0.396,0.228,0.218,0.04,5,374,6.41,,False,,,42,4,0.084,False,,,,,,,,,,,,
36,twin,Plant Gene Expression Analysis,Life Sciences,W2146827637,2014,Constitutive expression of the poplar WRKY transcription factor PtoWRKY60 enhances resistance to Dothiorella gregaria Sacc. in transgenic plants,78,10,3,0.81340735,48,1.4284,10,10.18,0.117,0.74,0.649,0.636,0.013,4,475,14.37,,False,,,0,0,,False,,,,,,,,,,,,
37,case,Cannabis and Cannabinoid Research,Health Sciences,W2100987960,2011,Cannabidiol Reduces the Anxiety Induced by Simulated Public Speaking in Treatment-Naïve Social Phobia Patients,48,14,10,0.99686456,778,20.0133,4.0,9.43,0.391,0.587,0.565,0.522,0.5,6,163.5,5.69,,False,,,31,18,,False,,,,,,,,,,,,
37,twin,Cannabis and Cannabinoid Research,Health Sciences,W1580136919,2011,Effects of the Analgesic Acetaminophen (Paracetamol) and its para‐Aminophenol Metabolite on Viability of Mouse‐Cultured Cortical Neurons,18,5,3,0.83399223,30,1.8679,4.5,9.44,0.444,0.556,0.556,0.5,0.444,6,76.5,4.75,,False,,,1,0,,False,,,,,,,,,,,,
38,case,EEG and Brain-Computer Interfaces,Life Sciences,W2126719297,2012,Classifying depression patients and normal subjects using machine learning techniques and nonlinear features from EEG signal,28,3,2,0.95360156,566,4.4101,11,12.16,0.0,0.84,0.68,0.68,0.6,8,493,7.02,,False,,,38,88,,False,,,,,,,,,,,,
38,twin,EEG and Brain-Computer Interfaces,Life Sciences,W1993492026,2012,European Public Deliberation on Brain Machine Interface Technology: Five Convergence Seminars,14,2,1,0.61674827,23,0.5188,3.0,5.93,0.643,0.786,0.643,0.571,0.571,5,113.5,2.95,,False,,,2,0,,False,,,,,,,,,,,,
39,case,Groundwater and Watershed Analysis,Physical Sciences,W2914012905,2019,"GIS and AHP Techniques Based Delineation of Groundwater Potential Zones: a case study from Southern Western Ghats, India",65,3,1,0.99921894,714,21.984,8.0,9.39,0.203,0.266,0.266,0.141,0.047,6,263.5,3.85,,False,,,52,42,0.013,False,,,,,,,,,,,,
39,twin,Groundwater and Watershed Analysis,Physical Sciences,W2941089783,2019,Coupling groundwater GIS mapping and geovisualisation techniques in urban hydrogeomorphology: focus on methodology,57,3,3,0.65880128,12,0.7614,6.5,9.5,0.196,0.75,0.607,0.446,0.214,7,98.5,2.78,,False,,,0,0,,True,48367,,,,,,,,,,,
40,case,Nail Diseases and Treatments,Health Sciences,W2785200097,2018,Deep neural networks show an equivalent and often superior performance to dermatologists in onychomycosis diagnosis: Automatic construction of onychomycosis datasets by region-based convolutional deep neural network,20,7,5,0.9960227,306,18.2224,3.0,6.22,0.556,0.667,0.667,0.444,0.444,2,4378.0,202.47,,False,,,7,26,0.2,False,,,,,,,,,,,,
40,twin,Nail Diseases and Treatments,Health Sciences,W2955349987,2018,A Hospital-Based Observational Study on the Frequency of Different Skin Diseases and Patterns of Topical Steroid Misuse,21,2,1,0.66191787,6,0.4518,9,12.53,0.105,1.0,1.0,0.053,0.0,2,54,1.53,,False,,,0,0,0.0,False,,,,,,,,,,,,
41,case,Evolution and Genetic Dynamics,Life Sciences,W2019385975,2012,Rate and molecular spectrum of spontaneous mutations in the bacterium Escherichia coli as determined by whole-genome sequencing,86,4,1,0.99561215,753,19.0502,13.0,15.21,0.233,0.802,0.698,0.198,0.163,8,286.5,6.2,,False,,,89,30,,False,,,,,,,,,,,,
41,twin,Evolution and Genetic Dynamics,Life Sciences,W2137122227,2012,Mutation Induced Extinction in Finite Populations: Lethal Mutagenesis and Lethal Isolation,67,2,1,0.80050505,24,1.1317,10,13.15,0.149,0.433,0.403,0.269,0.149,7,275,5.88,,False,,,0,1,0.053,False,,,,,,,,,,,,
