pair,role,topic,domain,id,year,title,n_refs,n_authors,n_institutions,pct,cited_by_count,fwci,ref_age_median,ref_age_mean,ref_share_le3,ref_cross_topic,ref_cross_subfield,ref_cross_field,ref_cross_domain,ref_n_fields,ref_hot_median,ref_fwci_median,n_citers,citers_capped,cd_nok,cd5_nok,s2_influential,s2_method_cites,s2_ref_method_share,has_text,text_chars
5,case,Liver physiology and pathology,Health Sciences,W2142988890,2011,Pathogenesis of Liver Fibrosis,225,2,1,0.99928304,1804,37.5136,5.0,6.86,0.254,0.565,0.498,0.215,0.215,4,181.0,5.19,1768,False,-0.071,-0.403,32,0,,False,
5,twin,Liver physiology and pathology,Health Sciences,W2166015942,2011,Anti-MET Targeted Therapy Has Come of Age: The First Durable Complete Response with MetMAb in Metastatic Gastric Cancer,18,2,1,0.76180993,21,0.9726,1,2.35,0.765,0.412,0.412,0.059,0.059,2,208,9.36,21,False,-0.429,-0.286,0,0,,False,
6,case,Polymer Surface Interaction Studies,Physical Sciences,W2611274699,2017,50th Anniversary Perspective : Polymer Brushes: Novel Surfaces for Future Materials,283,4,1,0.99841622,509,19.6729,11.0,11.79,0.136,0.375,0.375,0.311,0.068,9,106.5,4.8,508,False,-0.539,-0.623,5,4,,False,
6,twin,Polymer Surface Interaction Studies,Physical Sciences,W2619190098,2017,Salamanders on the bench – A biocompatibility study of salamander skin secretions in cell cultures,87,12,10,0.62686094,20,0.6148,10,14.01,0.133,0.973,0.973,0.893,0.507,10,57,2.21,21,False,-0.714,-0.647,2,2,,False,
7,case,Anorectal Disease Treatments and Outcomes,Health Sciences,W2789794824,2018,The American Society of Colon and Rectal Surgeons Clinical Practice Guidelines for the Management of Hemorrhoids,70,5,2,0.99840196,349,26.0211,6,7.77,0.338,0.2,0.185,0.0,0.0,1,76,2.79,343,False,-0.446,-0.551,20,18,,False,
7,twin,Anorectal Disease Treatments and Outcomes,Health Sciences,W2890145591,2018,Fistula-tract Laser Closure (FiLaC™) for complex urethroperineal fistula,15,5,3,0.65326211,4,0.4448,7,12.73,0.333,0.6,0.533,0.0,0.0,1,89,4.05,4,False,0.0,0.0,1,0,,False,
8,case,Epoxy Resin Curing Processes,Physical Sciences,W2787363066,2018,Toughening of Petroleum Based (DGEBA) Epoxy Resins with Various Renewable Resources Based Flexible Chains for High Performance Applications: A Review,117,5,1,0.98609726,185,8.2058,6,8.31,0.291,0.752,0.752,0.632,0.009,7,121,5.06,185,False,0.124,0.018,0,2,,False,
8,twin,Epoxy Resin Curing Processes,Physical Sciences,W2886777590,2018,Phenalkamine curing agents for epoxy resin: characterization and structure property relationship,25,2,1,0.45045626,17,0.1423,3,4.22,0.565,0.522,0.522,0.435,0.043,5,61,3.05,17,False,0.059,-0.333,0,0,,False,
9,case,Inflammatory Bowel Disease,Life Sciences,W2111362292,2012,"Ciclosporin versus infliximab in patients with severe ulcerative colitis refractory to intravenous steroids: a parallel, open-label randomised controlled trial",43,31,42,0.99822695,648,31.8755,9,18.07,0.146,0.39,0.39,0.39,0.39,6,559,14.19,633,False,-0.548,-0.644,25,12,,False,
9,twin,Inflammatory Bowel Disease,Life Sciences,W1993242327,2012,The use of infliximab in the prevention of postsurgical recurrence in polysurgery Crohn's disease patients: a pilot open-labeled prospective study,17,8,3,0.88958736,22,2.452,7,10.65,0.118,0.118,0.118,0.118,0.118,2,245,6.84,22,False,-0.727,-0.625,1,0,,False,
10,case,Mycobacterium research and diagnosis,Health Sciences,W2796455598,2018,"NTM drug discovery: status, gaps and the way forward",209,4,2,0.99538265,280,16.5666,5,7.68,0.407,0.286,0.286,0.055,0.05,5,112,4.78,278,False,-0.777,-0.807,15,5,0.0,False,
10,twin,Mycobacterium research and diagnosis,Health Sciences,W2896467100,2018,Portuguese in vitro antibiotic susceptibilities favor current nontuberculous mycobacteria treatment guidelines,28,6,8,0.65163175,11,0.4518,4,8.52,0.259,0.37,0.37,0.222,0.222,4,240,10.18,11,False,-0.636,-0.5,0,0,0.0,False,
11,case,Photoreceptor and optogenetics research,Life Sciences,W2561980828,2016,AAV-Mediated Anterograde Transsynaptic Tagging: Mapping Corticocollicular Input-Defined Neural Pathways for Defense Behaviors,58,7,2,0.9972947,822,18.4934,4,7.85,0.491,0.873,0.8,0.455,0.091,6,240,6.8,807,False,-0.38,-0.573,26,37,0.0,False,
11,twin,Photoreceptor and optogenetics research,Life Sciences,W2558766392,2016,Fluorescent Visualization of Cellular Proton Fluxes,39,4,1,0.69761759,24,0.7705,9,8.68,0.135,1.0,0.973,0.946,0.216,7,161,4.45,24,False,-0.5,-0.333,0,3,0.12,False,
12,case,Cannabis and Cannabinoid Research,Health Sciences,W2128076336,2011,"Safety and Side Effects of Cannabidiol, a Cannabis sativa Constituent",122,4,2,0.98152944,561,8.5385,7.0,12.61,0.287,0.197,0.197,0.131,0.131,5,169.0,3.97,559,False,-0.485,-0.838,24,10,,False,
12,twin,Cannabis and Cannabinoid Research,Health Sciences,W1578852322,2011,Marijuana‐induced recurrent acute coronary syndrome with normal coronary angiograms,6,3,3,0.83390131,35,1.8678,8.5,10.33,0.333,0.333,0.333,0.0,0.0,1,80.5,1.36,35,False,-0.714,-0.692,0,0,,False,
13,case,Mitochondrial Function and Pathology,Life Sciences,W2051476652,2012,Assessment of mitochondrial respiratory chain enzymatic activities on tissues and cultured cells,38,5,3,0.98433547,1021,7.9946,6.0,10.32,0.184,0.316,0.289,0.237,0.184,4,213.0,5.51,990,False,0.444,0.218,63,111,,False,
13,twin,Mitochondrial Function and Pathology,Life Sciences,W2108283807,2012,Adaptation of respiratory chain biogenesis to cytochrome c oxidase deficiency caused by SURF1 gene mutations,59,7,4,0.86339536,37,1.9679,8,9.26,0.193,0.333,0.105,0.088,0.088,5,136,3.05,37,False,-0.405,-0.652,0,1,,False,
14,case,Radioactivity and Radon Measurements,Health Sciences,W1965361443,2013,"Measurements of natural gamma radiation in beach sediments of north east coast of Tamilnadu, India by gamma ray spectrometry with multivariate statistical approach",22,6,6,0.94595935,114,5.1223,10,12.48,0.095,0.429,0.429,0.429,0.429,6,107,3.59,114,False,-0.526,-0.63,4,3,0.0,False,
14,twin,Radioactivity and Radon Measurements,Health Sciences,W2023417992,2013,Development of standard methods for activity measurement of natural radionuclides in waterworks as basis for dose and risk assessment—First results of an Austrian study,5,4,1,0.68120972,9,0.5122,9,12.2,0.0,0.2,0.2,0.2,0.2,2,21,0.99,9,False,0.333,0.0,1,0,,False,
